sentiment,content
relief,b everythins great and dandy Thanks for asking Howre you
happiness,bat school Rusty just put Oh It Is Love on my ipod awh
fun,b wow thanks for saying that man Id love to illustrate childrens books
neutral,bdont look at my toes put shoes on then painted big toe
happiness,bGood morning Monday  I feel as though you came to visit too early But I am happy to see you none the less
love,bhappy birthday to 
relief,b thats called dedication
worry,b we shall see
love,b LOL Thanks for showing me  site I wont tell hubby if you wont
happiness,bIn bed eating chocolates after  super parties yay  playing with the new camera  could I be an amazing photographer
neutral,bhahah ive got ginger hair nao
happiness,bis also very excited for the BLAZIN SQUAD revival  im rooting for em their new song 
fun,bhm what to do a bit of work a bit of fun 
worry,b oh please you dont have to do that to me Dont bother
happiness,b  HELLOOOO 
neutral,bWallace and Gromit is on bbc
sadness,bOff to school so tired didnt hear the  texts i had last night lol  Still tired but i love Jesus Christ
happiness,b Im looking forward too see and hear you in Norway Live fast
neutral,b Im on my wayit may take me a while to get there since Im coming from the US  Did you have fun last night
worry,b fuck it You dont look well You have to go home
love,bMonday and I am at work and the legs are a still hurting a little Smile
love,b HaPPy BDAY Ma Freaaaaaaak  lt
happiness,bAfter workHillcats game    cent hot dogs haha
surprise,b Yep still a few seats left for PRACC workshop w  amp    see you there
happiness,bits gonna be a beautiful day
neutral,b are you playing with Rico and growling at him
relief,b i agree with you
neutral,bIn worst case cenario Ill show up on OFFF with a white mask and scare everyone Even better everyone should wear a mask besides me
neutral,b  I love this one  Me  Victor  Ate Guillian and Dexter 
worry,bis worried  hopeful that I cought giardia from the foam tonight
sadness,b thank you
love,bReminising on such a wonderful day yesterday with my family and my love  Nothing like shooting some basketball with the men in my life
worry,byup def swine flu I think it was the sausage
surprise,bmy pic is back  out of the blue
happiness,bI love those creditcardsized memory sticks And Microsoft keeps sending them to me
love,bmight be seeing my god mothers little boy in a bit   Leon so cute lt
happiness,b Cant wait to do some of those things
happiness,bNEW STRIPEY TOP DAY
happiness,bIm a  Reagan con according to this quiz 
enthusiasm,bIm getting back into  again
worry,btime for me to go to bed Am very tired catch up with you all in a couple of days when I land amp recover from flying to Denmark
happiness,bOne final down two to go
neutral,b cheers we will defo give you a call
neutral,bBack from brunch Hopefully I lured two more friends here
relief,b I agree ampamp I like the new pic
love,b heyy shantell  twitter is cool thats why and guess what i followed britney spears and she followed me back
happiness,b No  is a good price considering WHO you are going to see    Right
happiness,bHappy Star Wars day everyone and Enjoy the holiday UK
neutral,b total tv quote not sure if u would know it
happiness,bToday in a Week I am  yiha
neutral,bJust booked some tickets for Jessicaaaa
surprise,b it IS a universal treat
neutral,b Hey r u back in La right nowWhat was ur favorite part bout Europe Ive never been out of the country xcept Canada  XO Jenna
love,b That is INCREDIBLY sweet What a good Hubby
neutral,bSO BORED
sadness,bIn pain from earlier gym session  a necessary evil after too much beer this past year
fun,b unless youre gretel killeen apparently you did look pretty damn good
surprise,bThere is a faux gothy chick looking at me sorry I am not going to camden and I like poppunk and jimmy eat world
happiness,bHad such a great weekend Glad its sunny out today
neutral,b Good luck this week I know youll handle it with grace
worry,b  I have one fastsmallballbustery question amp I promise not to weirdherout wthe fact it MAY be on my visionboard
love,bChilling with my baybee sarah  i love this girl
neutral,bhmmmm i wonder how she my number 
enthusiasm,b Rest then Its your day off
love,b Welcome back and thanks for the pictures You made my morning  better
happiness,bIn Paris till friday
neutral,bhappy belated birthday francesc fabregas wish you all the best fabre
neutral,bwatching ALIAS from the beginning approximately for the th time
neutral,bindian or the cowboy actually considering going to the carnival
neutral,b ok babe gotta go back to work tweet you later
surprise,b I was thinking the swine markets are in decline But since we cant say that anymore
happiness,bGood morning everyone  Nice to see you today  Hope you a wonderful and funny day
worry,b night Diana and if you travel soon take care
relief,bOnly a month left of high school Thank God I am ready for summer
love,b Yes dahling you are definitely one awesome tweep   Im sending love and kindness across the ocean to you
neutral,bInvisible car helps to boost recycling Honest   
neutral,b thanks
fun,bMorning amp welcome new followers I tweet business amp pleasure so just fair warning
neutral,bDay  of back to work  Day  went allllllllright I was only exposed to the swine flu for  hours so thats ok I think Just wash my hands
love,b love it
enthusiasm,bAbout to dye my hair and do my nails
fun,b hahahha but days off are cool when nothings open  its like isolated and haha cool
love,bGood Morning Twitter Peeps    What is on your agenda today
happiness,b I saw it and I liked it  Not bad 
love,b i L u so much  See u at school todaay
happiness,b Will do  promise  thanks
happiness,bBack in from LI hours ago n still made it to work  yay me
neutral,b LOL minimize the use of computers  or discover ecofriendly devices
worry,bi want you to text me first everyday not me
relief,b Yep Nothing to worry about
love,b someones a sweet tooth  i was dying for somethin sweet so ive attacked the chock coated tiny teddies all i could find lol
enthusiasm,b Ha ha might be  Ive doubled my morning intake already in the last couple of days  now have a HUGE bowlful
love,b i like the sound of that
happiness,b Hella worth it even if you dont need the full  now
love,b I feel so inadequate with my  followers now  Send Enzyte
happiness,b Im doing great thank you
enthusiasm,bwaiting on the cue for kenny
relief,bOn way to Birmingham Sewing in the van Punk
relief,bthe end is not as far as the start
happiness,blistening to some bands recommended to me by Sarrah  i really like the friday night boys lt
happiness,b more coffee
happiness,bspring pictures today  going to schoooool
worry,b I know Im totally excited
love,b how fun to see what people on the other side of the pond are getting up to right now thanks so much for sharing
fun,b   aww sweet 
enthusiasm,bWow cant believe Monday is here again already I hope everyone is well today
worry,b dont frown my lil aussie I still love you muah
worry,b Major Fail Since you asked
worry,b now Eating and meeting at the same time sigh well well I want to start work out too but will have to wait move to my new house
enthusiasm,bOficially Back to work all systems up and running smoothly
happiness,bim yours  jason mrazlooking for an electric guitar  yay
neutral,bi just joined
happiness,bFinish line for Team Alpha Allstars Was a great day and good to in the winning company team  
surprise,bThanks for the follow my new Twitpeeps
sadness,b Yes Im the only stupid girl of my kind
neutral,bhaha and i just got an email that truth is now following me on Twitter  A sign that I need to do away with the obscure mind games
neutral,bsays karma strikes more than twice  
happiness,b my fav CD
relief,bDrinking tea and eating choc chip cookies Going to head to sleep soon Night all
worry,bworking late but yet so fun hearing my colleagues funny song lists
happiness,blooking forward to the finale of the RACE next week Missing my castle girls though Any and all Race fans welcome to watch chez moi
neutral,b You will know me and Kristi in Raleigh right
worry,bGood Morning
sadness,b It has however got me out of doing the gardening  something for which I am eternally pleased
enthusiasm,blikes patricias dress
surprise,bDo you click on the link after the post quotI cant believe how much sex Im gettingquotI mean come on
happiness,bYEHEY SUMMER  so exciteeeddd balme it on the aaaaaalcohol
sadness,b hello id like a little chat but cant DM you is there a mail id
neutral,b Thanks
neutral,b      wordsday       wordshour       wordsminute  No pressure
happiness,b very nicei cleared my head
enthusiasm,b allright Looking forward to it
happiness,bBuilding the radio studio from which were going to podcast from Its for our foundation called the Insight Foundation
neutral,b yeah No vomiting tonight bit sniffly but ok  bens trying to get him to sleep right now
neutral,b Hardknock life
neutral,bim going at espacesoleil
neutral,bI meant to say that I have created my profile on twitter lol I will begin twittering today  Thanx  all who showed up to Jay Bday Bash 
worry,b Our garden has never looked so good thanks to all the Spring rain Of course it helped that I spent  days weeding it
relief,b Hope it went well Was rooting for you both from the not so comfortable world of PhD application formfillingin  xxx
neutral,bRaining in Calicut
love,b wow thats cool  bytheway i love your new TV show
surprise,b surprisingly i am actually not super tired would like to just lay in bed for a while though
fun,bits gonna be a great week dallas next weekend
happiness,b thanks for following me Nice to meet you
happiness,bMy near daily exercise is starting to show results
hate,bJust saw a male Baltimore oriole at our suet feeder and something enjoyed a lot of thistle from our new thistle feeder early this am
neutral,b The Beatles Those scousers with funny haircuts More talent in The Banana Splits
love,b Thats love
love,b That pic of Donnie is the one SiouxSinner took last night at the Launch Word has it hes got a solo album comin out too
happiness,bFinally im back online I miss my lappy So many things to follow up Starting with Ning Haha
relief,b Having an awesome day You should I expect as much out of you  awesomeupdater
happiness,b  Jonathan can  you get Priscilla Ahn or Raphael Saadiq on your show  they were fab on the Jools Holland show
sadness,b to go and uploading photos to email would be ten tenenen tenen DONE
relief,bsee I told you  Im updating my personal site with lots of goodies check them out as they come 
surprise,bGoingto the airport soon and then going to meet my wedding photographer Cant wait
surprise,b ohh yeh  but he was on sexy men so its okay
worry,b Id like to see a picture of you Carl and John where everyone can read from your faces youre proud of and you love eachother
relief,bIts only  and I am going to BED Brain cant focus at all Need a fresh new start I pray that God grants me a fresh tomorrow
neutral,bScrew it Im going shopping Ill be back by like  anyway and then Ill do hard core revision
relief,b lol you mite be able to see them on facebook if you have it and if you add me Obviously I cant post them on my blog
fun,bPresentation  done And btw my teacher is cute as hell
worry,bLAZZZZZZZZZZZZZZZY MONDAY  Bank Holiday  Nicole why havent u direct msged me yet 
happiness,b Pitty he wasnt arnd  huh I wld have rlly wet myself Otherwise the wedding was gr Had a gd time amp lots of smiley faces
sadness,bis planning her week its going to good going to get a lot of stuff done
neutral,b  yeeee  so wassup
fun,b lol of course im right im ALWAYS right didnt  tell you
relief,b I appreciate the effort My skin is much softer than your screen
love,bjust woke up and feeling real good cause of krispy kreme I WANT ME SOME DOUGHNUTS
fun,b oooh really haha have they said anything about it yet ill suggest the idea on twitter if you wanthavent already
neutral,b well bugger can send my to do list right on over if your board
love,b THANKS
neutral,b Video a challenge when shot in notsoscenic conference room with no mic but thank you  Loved your Grant Park house amp DOGS
worry,b K  I can hack if I have directions   have multiple social net sites amp I think this is a cool add but we chose not  go MU
hate,bwill be very hard to go back to work this morning  straight days at disneyland tends to do that
happiness,b  cool i saw it now in the link thanks
love,balmost time to take the kids to school
fun,b Hi Yeah Im fine  Just being a girl Haha But yeah Ill be seeing u Thursday Hehe Ill tempt  with a chai
happiness,bGood Morning everyone Enjoy your day Thinking of all my tweet friends
happiness,b woah thats cool  just landed in London about  and hours agoI LOVE the scenery beautiful 
fun,bGetting a lot done in the office already Its good to be here early
worry,bNeed to fold laundry and finish dishes clean out the rabbits cage too Thats about it that really needs to be done doable
worry,b from your fevered imagination my son
neutral,bIm out looking for warblers Seen a yellow so far  And a blue grey gnatcatcher
neutral,b aaaww fall for you of courseeee
happiness,bback to work on a beautiful sunny day
love,bMe and my son just got up  He sure does love the morning time  I KNOW he did not get that from me
enthusiasm,bGood morning tweeps Monday got here way too soon Hope you are having a good one at least as good as it can get for a Monday
fun,bNo profile pic or bio few or no updates lots of following and no followers Zap Pow Block Annoying but strangely satisfying
neutral,b I got you today
relief,b then how come Im not uber successful  Im not making the same mistakes Im making entirely new ones
neutral,b  hahaha awww just wait until midAugust
neutral,band now ITS starwarsday To celebrate i should watch some star wars   Richard
relief,b thanks for the follow
neutral,bgoing to have bfast now
love,bId love too see you were it 
neutral,bwent twitter crazy last nigh p well thats what happens when u got nothin ta do at  oclock in da mornin
worry,bso tired from school and work shower than neighboures
worry,b just  little stomach bug nothing serious
neutral,bIve come close to astroturf myself  Save yr   it doesnt drain Just spray paint yr yard green instead
love,b Thanks twilight i know we love canon
neutral,bOkay now Im listening to Jonathan Coulton and working Woo
neutral,bIm gonna stop hogging the laptop for tonight Tomorrow again twitterers
neutral,b awesome I am at  west lake street right across from the dunn brothers on lake
neutral,bThe Paper Route album is quotAbsencequot not quotAbsence While Working on Cabinetsquot
relief,bis now at school About to take the ECAs quotLAMEquot Steal from Brennan Good Job LC and you too Brennan
surprise,bDid you know you can shop for AVON online Its true Check out my site    Thanks
love,bMothers Day is THIS Sunday dont forget to send her something special  
sadness,bChilliin
neutral,bIn the park with seb and ruth
worry,b thanks for reading my blog and for laughing at MY PERILS AND TRAGEDIES Cries
hate,bI woke up at  Didnt have a full bladder wasnt sick And to top it off I went for a run Now I wanna go back to bed
neutral,bOn train with at least two gaggles of teenagers sitting amp the commuters squished standing in the backat least the teenagers let me sit
happiness,bYay Made my first sale on RedBubble  that makes me so happy   
happiness,b I am trying my best to make my own luck
worry,b Pulp Fiction in King William Street
relief,bfinally feel back into swing of things here at work after getting married last week sigh of relief for no more wedding planning
love,bToday is a blessed day
worry,bSo Im waiting in front of the DPS so Julian can take his driving test
neutral,b Search for quotAsos couponsquot in Google  Plenty to choose from
love,b ah helping my friend move and will defo be having a well deserved pint after it thats for sure
worry,b ya mine too but for very different reason
neutral,bMy copy shipped Friday if it shows up today Ill tune in
surprise,b let me guess  ran a few miles  Respect dude I cant do it  Maybe you should train me
happiness,bI just went to Metro Diner for the first time It was awesome
love,b I know  haha night
worry,b lol it was kinda funny
happiness,b see u Next Saturday With Mr 
neutral,b wasnt the quotlayersquot just absolute positioned divs Web compability killer
fun,bwhat a great day for a massage book your appointment today  
relief,b big storm here yesterday and last night But a bright new day this morning here
neutral,bJust learned aobut starwarsday Thus quotThere are only  movies and Han Solo shot firstquot Deal with it
happiness,boh yes happy star wars day   May the fourth be with you
happiness,b lol good morning  Ran  milles amp hit the gym  Have a great day
hate,b  me again
happiness,b they are finally getting ready i see on msn  ahaha  have fun fun fun
worry,b whatever u want us to wear  stick  show off around DUMBO Brooklyn amp Manhattan
happiness,b swimming and tanning was heaven i blasted music while tanning and was in my own world
sadness,b oh I am sorry my friend Katie amp I will do our best to keep you cheery
surprise,b  Cheeeessseee We were in Ireland when the latest WampG aired Inlaws had to put up with my blocking the telly on Christmas Day
neutral,bhasa Lemon Cake in the oven and is going on to make Pork Casserole  Domestic or what
happiness,b Hehehe  Im nice
neutral,btotally forgot about pink radio being launched today gonna listen to it when i finish my assignment
love,b   too   crazy about miley and JB and in love with Nick Jonas haha
fun,b Fun to read thanks You Brits make things interesting  Funny they whittled  saints days to four 
love,b one day the hubs and I WILL take one of those Theres actually a missions cruise that we want to go on It has music too
enthusiasm,b Have a good day  Im checking out Hugh today Also be on lookout for best quotcassouletquot recipe you will have ever tasted
sadness,bis feeling sick  oh well i reckon those people on the bus cursed me Anyways nighty night all
relief,bHeaded to drop my lil cuz off at the bus stop Then its back to the bed to read my book  relaXin on my day off
happiness,bSayin good morning to everybody in the Office    Must say quotGood Morning to youquot too    Greets from Charlotte NC USA
love,bThinks FML should changed to LML love my life
love,bAlready up and in the clouds cod and French toast best day of my life
neutral,b they are arent they
happiness,bJust a reminder to anyone  thepetnet awards for the most pet friendly businesses in the UK are being awarded at pm
happiness,b Good morning to you Hope you have a nice productive day
happiness,bLooks like I got a new job
worry,b you seem desperatethat says probly enough
relief,bkids class is going on field trip today  and for once I was smart enough to not volunteer to help
love,bUndervote is just going on  Im all overalled up
neutral,b whatever pung  haha i dont care JK
love,b for my homepage
neutral,b now I wanna get me some warp pants
happiness,b Good Morning Hope you have a great day
happiness,bis enjoying a cup of chicken soup
neutral,b And on Wednesday Ill get my government paycheck  Its like we just swap money
happiness,bFRIENDS COMING TONIGHT Hopefully the weather will stay nice
happiness,b yaaaay mish is following gab
worry,byou can see the coffee table again  when r u cominging  over  insult me into cleaning the rest of the house
worry,bhas two finals left today then starts her big girl job tomorrow
surprise,b dohh is it old I had never heard it Im so last year
worry,b So far everybody look good    more momma goat to kid this month  Hope she has them this week
relief,bI have to stop writing in Swedish or Ill lose my nice followers Back on the international track
sadness,bGetting to play golf with our kickin Leadership TeamI have a feeling they r gonna kick me on the golf course
love,bGood Morning Tweeties
worry,bMonday mornin back to work today Good thing I live my job
fun,b If I am so are U my friend  HA  But the thing is WE make old look GOOD
neutral,bDOUGIE POYNTER REPLYED TO ME
neutral,b Four capital letters Aye boy same as that I heart Justice
happiness,bWed Man On His Way     Yess    Time  Wake Up  Real  lol
worry,bTweetioi in class is a real problem  Taylor
neutral,b well then you should come nigguh Only thing is i may be going to like Phuket or Bali afterwards
worry,bStarting a new diet today I dont want to get fat Besides its almost bathing suit season lol
surprise,b i DO THAT ALL THE TIME NO BIGGIE
sadness,b  sikeeeeIm sick cough
relief,b Thankfully that face only shows up for photoshoots
neutral,boff to bed for the night goods night everyone
happiness,bGood mornin twiggas
fun,b  Please play in my movie
happiness,bSpanish The suckiest class ever But Im learning atleast Te quiero Tiasha
neutral,bWho starts a briefing at  am People on the East Coast thats who
happiness,b Hey
worry,bFinal final of the semester
worry,bTwitter you suck
happiness,b In Toronto  waiting for YOU  days to go
worry,b Im not posh enough to read Tatler
worry,bhelllooooo boston legal
love,b thanks lovely will let you know when its up and ready The baby havs are gorgeous I want something to put in them  x
worry,b Mornin   Missed dance time so I guess I will have to dance extra hard tomorrow
surprise,b the idiom doesnt ring a bell eh hahaha yare really thinking of food nope actually in the bathroom teehee
happiness,b Congrats on the knottie man
happiness,bgonna get out in the sunshine
relief,b and by music I meant awesome Christian artists
neutral,bI am tracking with Heather Hayes today thats right the daughter of Isaac Hayes aka SHAFT aka Chef on southpark     JJ KILLA
worry,bwhy yes jeeves bring me that noose there  TOO MANY ASSIGNMENTS
happiness,b Good morning Dan Its my Bday and I plan on getting some exercise too today  Love ya See you in NYC
fun,b  iquotm awake whats for breakfast lulu shit on a shingle ha ha ha
happiness,b ran  miles went to the gym amp woke up Ur great kidsdependable Danny  hope it has been great already
neutral,b It is very cool isnt it  You still havent bought it tut tut
happiness,bis stoked for spring Amazing wild foods Nature is abundantbless up
neutral,b pretty much thanks  seeing if a little Gilbert amp Sullivan will cheer me up more
relief,b I suppose it has a certain s charm Id personally hold out for the motorola  track phone I like my phones chunky
worry,b The race was Saturday night Jimmie didnt do so great Hes still in rd place
worry,bI wish I could sleep forever
sadness,b Till then Ice Cream
neutral,bThat just made my night
love,b youre the absoute best
worry,b Tell me about it I spend  of the  min in the morning on computer Doesnt leave a lot of time  showering amp hairdoing
love,bThis is a much better tool than some I have come across   Twitter Karma on Steroids
love,bis going to see wolverine and is a lil bit excited
hate,b Namaskar amp Namaste r both the same Marathi people say Namaskar its a marathi word should i  naaaah 
neutral,bIm going to do my homework bye
neutral,bEd is awake But Andy doesnt feel so hot so shes still sleeping
happiness,bDrink  And at pm when leaving the shops I had a Medium Light Coffee Frappuccino Nom nom nom
neutral,bthe last time pankraz why do they have to got the same name 
happiness,bStarting my morning with coffee and the Early Show with Harry  Home improvementmy fav subjectquotdezignquot
happiness,bIf I smile at you will you follow me please lol
neutral,bSweet USB at Charles and Marie site just bought it  
happiness,b Woo Hoo  I made it to one of your Favorites  See Mondays Rock
surprise,bits castiel   the angle 
surprise,b happy to help
happiness,b well if Twitter was  a year I think itd be a lot easier to monetize than at   Less need for differentiated paynopay
sadness,bwhen i decide to be on time for something that devil is always there to counteract Frustrating but not discouraging
worry,bAm I the next Blumenthal
happiness,basks thnx for gritiNg    take caRE Too  God BleSS 
relief,bLoves the fact that theres only  days of school left
worry,bGoing lay down Ill get up officially   Yes  lol Goodnight again
neutral,b Wahoo Thanks for the mention to others
love,b Nice one Hope others appreciate it
happiness,bgot a rad new tshirt from my aunt Made from some cool shiny shiny pink material
enthusiasm,bok I promise to become interesting if you follow me
neutral,b well you are a tricky one so I would say 
neutral,b LOL based on my last post then Ill plan on using you as a reference
fun,bThinking Im super excited about this week
neutral,bis at her nans house eating fish and chips and watching Top Gear Good times
happiness,bordered my new shirt
happiness,b  Congratulationskeep us posted on how things go
happiness,b I thought it was pretty funny
surprise,b what are you doing here I thought you were back at work today
happiness,byay  sherbert and chocolate  very nutritious
relief,bjust downloaded the tweet decklook at my and my saviness
fun,bIm report is coming along really good and i havent even been tweeting that much Im so proud of myself
neutral,b Then you should check out  and connect with other tweeple who hate twitter
neutral,bthe whole day
sadness,b not in this part of Surrey either feeling quite a bit nippy I must say Afternoon to you
love,b i LOVE lion knig it was my fav movie when i was a kidi love it till now
love,b not to sound preachery or anything but my iphone is amazing  havent had an issue since the  firmware   wink wink
happiness,b Cant wait to listen to Attics
neutral,b we have mice in our attic who clog dance
happiness,bYes i has  minutes of Sims  plus Seasons   fun fun expansions
surprise,bsays numbers are all good  all thats left is the white blood cell count  
relief,bMy younger sister flies in next week for a two week visit So blessed to look forward to seeing family members visit
surprise,b how poetic great going keep them coming
relief,bit appears we found the dogas we were posting signs with his picture someone else was posting quotfoundquot signs with his picture
love,bJoan is such a legend I cant wait for apprentice finale im so addicted i think i need a rehab LOL tweet later  xoxo
neutral,bGmorning   ooh giirll Mondays
surprise,b  lol sunny and  yesterday Igloo melted attacked by bushes recovering today  Hows things in Chocolateland
neutral,bGoodmorning twitter bugs happy monday to you all Today marks my first official day at my first fulltime job time to get ready
happiness,bMorning twitts heading home  had a great sleep over w my bf Tennille
surprise,b wow so glad you liked the concert but i mean how could you not like the concert
happiness,b c is nice but I wouldnt call it fun
neutral,bbath time
worry,b Thanks
happiness,b Last night was awesome Thanks for all the hard work you put into it Off to get some coffee now
happiness,bWorking on your birthday isnt so bad when you get to work with Ruby on Rails
surprise,b oh okay Thank you
love,b hey dougie just thought i would tell you that your gig in edinburgh got a brilliant review in the scottish sunday mail  xx
worry,b your knowledge of Xmen is starting to scare me
happiness,bWatching loudQUIETloud documentary about the ever awesome Pixies Realised Joey Santiago and David Lovering are Twitterers Fantastic
neutral,bHey  I bet you and your tweeps have lots of mother wisdom to share
love,bLittle brothers being funny  Congrats on the engagement 
surprise,b   wow that is pretty  x
love,bLoves Mileys song The Climb and loves the video  xxx
happiness,b   looks like a delicious recipe will try that tonite
love,bCastiel is loveeeeeeeeeeeeeeeeeeeeee
fun,b Greatings from planet shannan we have laded once again on your lanet amp hopefull we come in peace  HmmHaiaa
neutral,b Around better  How are you 
happiness,b Weekend was quiet just planning new websites Today research and choosing hats Coffee hat sounds good though Kettle on
love,b Gmorning Hermana Thank you for your testimonial it is wonderful Posted already
worry,b I only came across viva la juicy on fri no testers only body lotion in the store but i defo need to get it asap
worry,b But can you breathe OK
happiness,bwatching supernatural  how exciting
love,b great pics You should try to start selling your race photos to runners
love,bAt least they  kids havnt gotten to big to still say mommy ILOVE YOU AWWW they are so sweet I am so lucky to have my kids
neutral,bI actually drove in today  no incidents to report  to quote Ice Cube  Today was a good day
happiness,b thx  following  r y a band What kind of genre that y play Nice to meet all of y
neutral,b I am behind the times I hadnt loaded any songs from THE BLOCK til now What do u hav to offer
love,b   lol pretty long
happiness,bShopping with  beckyyy  Going to starbucks in a minute
worry,bIs Charleston bound for the day
happiness,bwill maybe have my cell phone soon  Yeah 
happiness,bThe sun is shining  Have a great day
love,b nuuuuu i totally love may its the best for me cos i was born in may
neutral,b Cheers lifts coffee cup here here for Mondays
fun,bI dont wanna work a hour shift today Id rather whisper sweetnothings into the earpiece of a lady friends cellphone
neutral,b  yes francebelgium was good  carnt belive how much traffic we hit on the way back
happiness,b ComicCon Thats cool
happiness,b Thanks for the intro Great to meet u on twitter
neutral,b oh cuz id like to use it on a whole heap on bitchy girls I knoww
happiness,bThe mission to Wales to find the worlds greatest welsh cake with  was a success  as none are better than my nans
hate,b gifts amp honesty box messages has been discontinued due to abuse   hehe dal facebookov aplikace na hovno
love,b Cant wait for DTE in Michigan this summer you guys are great look for me in the customized NKOTB Track Jacket
happiness,b lol wen my mum used to take me as a kid i wud always eat the bread instead haha
love,blistening to Demi Lovato  FINISHED MY NEW SONG
love,b all the best for your IB exams Carl I hope you dont find them too difficult and that they go well for you
love,b Id love it if you havent had any takers yet
fun,baww You Are The Sunshine Of My Life from Bob and Larry Sing the s  makes me think of  lt
surprise,bJust got back from Carlton in Greenville  Benz is getting serviced  Time to make some money    I think Ill make some sales calls
sadness,bill and bored on bank holiday Nothings open Bad times Film it is
neutral,bGot home from audition awhile ago I think it went pretty well  Now my math homework is calling my name 
love,b we have annual passes to Universal and LOOOVE it  I love disney but I dont know that I would do it in the summer
neutral,bSOMEBODY CHECK THE WEATHER FOR ME  kthxbai
neutral,bpink bubble baths and champs
happiness,bYay Just bought American Dad Volume   also seen Australia is out on DVD Could be a lot cheaper than going
neutral,b Two more tweets to go for  tweets
surprise,bhungoverstill in bed duvet day day me thinks  ooh may start desperate housewives or watch new dvds off richard xx
neutral,bsAyS wAtChInG mAtIlDa
neutral,bHavent worn this hoodie since SXSW Forgot how amazingly comfy it is
neutral,bRZ Hope so  Time will tell  Good luck   
neutral,bis at Klaudines Again
neutral,bgraphic designshould be making a business cardbut im on TWITTER
love,bHouse season   good stuff  time with GF priceless
love,bbought three books yipee  now whos with me on that readtenbooksduringthesummer thing
fun,bPlayed DampD on the bank holiday  was nice got many XP  And killed a blob Actually two though the nd had tentacles
happiness,b  I picked out a watch  Yey
sadness,b I think its less of a tribute and more of a parody
fun,b i know  its nice haha
happiness,b  Thats charmingly funny
neutral,b trying to do the same thing running an online business as well as running a regular business in the quotrealquot world
worry,b Ohhhh I dont know  an older mature lady
worry,bHi ho  hi ho its off to work we go
happiness,bI like taking my dogs with me in the car when I run errands They are always excited to go anywhere like this morning to Krogers
happiness,b haha thats awesome Would be cool in a horror movie death scene  Maybe not coolbut amusingly ironic
neutral,b made me smilethats what you did already this morning    Have a great day
worry,b All is wellThat ends well lt unless of course well times the power of three  the sum of ends if X being All
neutral,bIs at work  boo  The PinUps will be playing at Uncommon Ground Wednesday night at  pm  W Devon Ave Chicago 
relief,b Thats what I want More the better Bound to be a few bad eggs though but they will soon learn
neutral,b Thanks Good morning
love,b even more exciting because Ill see you at CAN tonight
neutral,b  Is George still mending the car 
surprise,bwho wants to transfer some maths knowledge into my head via USB cable
worry,b Id love to but I think the trek from London would be a bit too much
neutral,bInteresting I type bike i get  bike company followers Download gets me  IT companies Amused  Can you say keyword
happiness,b Thank you
surprise,b I had mint icecream for dessert tonight Love the stuff
neutral,b  cool its my P
fun,bfollow me aswel  if u have twitter follow me lool    koool
neutral,b Thanks for the follow
surprise,b thanks just awesome
love,b  LOVE  YOU LOVE YOU LOVE YOU LOVE YOU okay can you read what I am saying LOVE U
neutral,b Hmm  My VPN works fine    Oh wait I dont need VPN anymore 
enthusiasm,bjust another mondaybut there are less then  hours to work for today
happiness,bHumous and Doritos Oh yes
fun,bBusy week this week quick trip to chase some oil and gas in htown and then back to office for fun week with the devel team
neutral,bafter my previous twitterthis is funny And also always gets me motivated for a brand new day   
sadness,bOn the computer alllllllllllllllll day
sadness,bhas a lot to catch up on from the weekend The BHR hosts have been busy busy busy  
neutral,bfall down
happiness,bTodays the day Twitterlandhouse closing begin at  and we should get to start moving in   into the new place
neutral,b That just means you were not trying hard enought
worry,bI think its time for a snack  Then to get day  sent out oh the procrastination
love,bHappy Birthday Snickers  I hope you have the best day ever Lets go shopping
surprise,bdoneeee wheeee hahaaaaaaaa so tired and sleepy  peter u suck not coming to my bday
happiness,bMondays arent so bad when they are this sunny  fb
neutral,b Betos Pizzeria is on Banksville Rd in I believe the Beachview area Sorry to answer like  years later
neutral,b Hiya How are you doing today
fun,b  Keen skydivers take off thousands of times in planes but rarely land in them
worry,b It was a pain worse then death  The Dell is just a boat anchor with a power cord or a very ugly paperweight
hate,bis on cloud  minus  razzle dazzle in amazement cuz he showed her heaven
fun,bHahaha  yes dey dooo BOSTON Legal  tha fat old man is funny tha one that was naked ina pink gown Lol
worry,b Yes Cathy  Ordinarily I dont have much of a problem with naked girls chasing me however  
happiness,bGood Morning Twitter Bugsssss am and my day starts no
neutral,b So am I
love,bgood morning  thank you for my hot cup of tea 
relief,b I am glad you are getting into your twittering
neutral,bIve been up since i hate wen i cant sleep Garys takn a nap and i mite do the same
neutral,bAbout to go eat breakfast at jay jays cafe with my one and only
relief,b So far so good Its still early though
surprise,bdamn me and sophie tweeted a lot yesterday well it seems like a lot to me anyway
love,b the Macarena never looked so good Loved the quotAaaaiieeequot squeak  exclamation
relief,bgoing to take my sociology exam   and back to bed
neutral,b They were some nice Pics you have kept  there you seem to carry your Cam around along with you
love,bATTICS TO EDEN   lt lt In my possession x Playing on my DVD player  Woop
worry,bBack in the office after a great quotStudent RoundUp Eventquot last Thu and Fri Thank you very much for coming I was great to meet yall
worry,b It often pays to wait
neutral,bWHAT DO YOU WANT FROM ME  Im awake
love,b   Germany loves you haha
happiness,bMay the th be with you  starwarsday
enthusiasm,b You can find more info on getonucom We hope to launch the project this week Then well really need some help to release it
happiness,b I just KNEW youd get that
happiness,bwow someones proud of me
